角色名,阵营,血量,技能,主色调,AI绘图提示词
林冲,民,4,豹头：出牌阶段可弃一张【杀】令一名角色弃一张牌；风雪山神庙：你受到的火焰伤害+1,赭褐+暗红+铁灰+竹青,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——林冲位于画面中央，头戴范阳笠、帽檐压低，面容刚毅忠勇、眉目间透悲愤之气，短须如铁，身披赭褐色布衣战袍、肩披蓑衣，手持花枪斜立，人物占画面约85%。设色方案以赭褐、暗红、铁灰、竹青为主——布衣战袍以赭褐与铁灰交织晕染，范阳笠描竹青与暗红，花枪以铁灰与竹青描绘，面部墨色刚毅中透赭褐与暗红。背景为极淡的褐灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以赭褐、暗红、铁灰与竹青为主，豹子头、逼上梁山，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
貂蝉,民,3,离间：出牌阶段可弃一张牌令两名男性角色拼点，输者弃一张牌；闭月：回合结束时可摸一张牌,月白+胭脂+翠绿+赤金,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——貂蝉位于画面中央，发髻双鬟如蝶、簪花摇曳，面容倾国倾城、眉目含情如拜月之姿，身披月白色轻纱长裙、衣带飘飞如仙，手持一炷清香置于胸前，人物占画面约85%。设色方案以月白、胭脂、翠绿、赤金为主——长裙以月白与胭脂交织晕染，发髻簪花描翠绿与赤金，清香以赤金与月白描绘，面部墨色清丽中透月白与胭脂。背景为极淡的粉白色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以月白、胭脂、翠绿与赤金为主，闭月羞花、连环计，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
李白,民,3,妙笔：出牌阶段可使用任意张【杀】；酒仙：可将【药】当【酒】使用,月白+天青+淡金+胭脂,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——李白位于画面中央，头戴幞头、巾带飘飞，面容俊朗、长眉入鬓，嘴角微扬呈醉笑之态，右手持白玉酒杯高举至肩侧，左手按剑柄于腰间，身披月白色宽袍、衣袂翻飞如云，人物占画面约85%。设色方案以月白、天青、淡金、胭脂为主——宽袍以月白与天青交织晕染，巾带描淡金与胭脂，酒杯以枯墨与淡金描绘，面部墨色清朗中透月白与天青。背景为极淡的青灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以月白、天青、淡金与胭脂为主，诗仙醉吟、举杯邀明月，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
赵雍,君,3,胡服：无防具时摸牌+1，有防具时跳过弃牌；捍北：装备马时【杀】强制命中,赤铜+藏蓝+暗金+赭石,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——赵雍位于画面中央，头戴战国武弁冠、冠顶高耸，面容英武果决、眉目间透改革之气，胡须短密，身披赤铜色胡服战袍、衣袍紧束利落，人物占画面约85%。设色方案以赤铜、藏蓝、暗金、赭石为主——胡服战袍以赤铜与藏蓝交织晕染，武弁冠描暗金与赭石，衣袍边缘以暗金勾勒，面部墨色果决中透赤铜与藏蓝。背景为极淡的褐蓝色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以赤铜、藏蓝、暗金与赭石为主，胡服骑射、改革之父，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
孙权,君,4,对峙：出牌阶段可将♦花色手牌当【隔岸观火】使用；制衡：状态标志生效前可弃一张牌取消一名角色状态,宝蓝+赤金+翠绿+朱砂,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——孙权位于画面中央，头戴吴式冕冠、冠饰简朴，面容沉稳睿智、眉目间透江东之主的气度，长须飘逸，身披宝蓝色帝王袍、衣袍饰以江涛纹，人物占画面约85%。设色方案以宝蓝、赤金、翠绿、朱砂为主——帝王袍以宝蓝与翠绿交织晕染，冕冠描赤金与朱砂，江涛纹以赤金勾勒，面部墨色沉稳中透宝蓝与翠绿。背景为极淡的蓝灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以宝蓝、赤金、翠绿与朱砂为主，紫髯碧眼、坐断东南，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
杨广,君,3,巡幸：出牌阶段可弃一张牌令一名角色摸一张牌并翻面；暴政：你造成的伤害+1但受到伤害也+1,暗紫+赤金+暗红+墨绿,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——杨广位于画面中央，头戴隋式通天冠、冠饰繁复，面容阴鸷俊美、眉目间透骄奢之气，胡须修剪齐整，身披暗紫色帝王袍、衣袍饰以金线纹，人物占画面约85%。设色方案以暗紫、赤金、暗红、墨绿为主——帝王袍以暗紫与墨绿交织晕染，通天冠描赤金与暗红，衣袍金纹以赤金勾勒，面部墨色阴鸷中透暗紫与暗红。背景为极淡的紫灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以暗紫、赤金、暗红与墨绿为主，雄才大略、骄奢暴虐，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
白起,臣,4,人屠：你的【杀】造成伤害时可弃置目标一张牌；武安：你对血量低于你的角色造成伤害+1,铁灰+暗红+玄黑+赤铜,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——白起位于画面中央，头戴战国武弁冠、冠顶尖锐，面容冷峻残酷、眉目如刀，短须如铁，身披铁灰色战甲、肩甲锋利如刃，人物占画面约85%。设色方案以铁灰、暗红、玄黑、赤铜为主——战甲以铁灰与玄黑交织晕染，武弁冠描暗红与赤铜，肩甲边缘以暗红勾勒，面部墨色冷酷中透铁灰与暗红。背景为极淡的暗灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以铁灰、暗红、玄黑与赤铜为主，杀神降世、长平之殇，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
王昭君,臣,3,和亲：出牌阶段可与一名民男性角色建立和亲，双方摸牌+1；落雁：你受到的属性伤害-1,月白+黛蓝+胭脂+暗金,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——王昭君位于画面中央，发髻绾成胡式、饰以珠翠，面容清丽绝俗、眉目含愁如出塞之思，身披月白色胡袍、衣袍饰以貂裘领，手持琵琶半抱于胸前，人物占画面约85%。设色方案以月白、黛蓝、胭脂、暗金为主——胡袍以月白与黛蓝交织晕染，貂裘领描暗金与胭脂，琵琶以赭石与暗金描绘，面部墨色清冷中透月白与黛蓝。背景为极淡的蓝白色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以月白、黛蓝、胭脂与暗金为主，落雁出塞、胡汉和亲，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
罗成,臣,4,骠骑：未装备武器时攻击范围为3；破阵：攻击范围大于目标血量时【杀】强制命中，小于时摸一张牌,银白+朱砂+藏蓝+暗金,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——罗成位于画面中央，头戴银盔、红缨高扬，面容俊朗英武、眉目如画，身披银白色明光铠、肩甲精致，手持银枪斜指前方，人物占画面约85%。设色方案以银白、朱砂、藏蓝、暗金为主——明光铠以银白与藏蓝交织晕染，银盔红缨描朱砂如火焰，银枪以银白与暗金描绘，面部墨色英武中透银白与朱砂。背景为极淡的银灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以银白、朱砂、藏蓝与暗金为主，冷面寒枪、隋唐第七条好汉，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
鬼谷子,民,3,纵横：出牌阶段可将♦牌当【合纵连横】使用；玄微：弃一张牌使本轮同色牌对你伤害无效，延时锦囊不可被无懈可击,玄紫+月白+暗金+竹青,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——鬼谷子位于画面中央，头戴道冠、冠顶浑圆，面容清癯睿智、眉目深如幽谷，长须及胸，身披玄紫色道袍、衣袍饰以阴阳太极纹，手持一卷天书置于胸前，人物占画面约85%。设色方案以玄紫、月白、暗金、竹青为主——道袍以玄紫与月白交织晕染，道冠描暗金与竹青，太极纹以暗金与月白勾勒，面部墨色深邃中透玄紫与竹青。背景为极淡的紫灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以玄紫、月白、暗金与竹青为主，纵横捭阖、鬼谷奇谋，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
伯乐,民,3,相马：其他角色判定时可预言花色，成功摸两张牌，失败可查看牌堆五张；识骏：默认装备+1马,赭褐+暗金+竹青+月白,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——伯乐位于画面中央，头戴布巾、巾角飞扬，面容慈和睿智、眉目间透识才之明，长须花白，身披赭褐色布衣、衣袍简朴，手持一卷相马经置于胸前，人物占画面约85%。设色方案以赭褐、暗金、竹青、月白为主——布衣以赭褐与竹青交织晕染，布巾描月白与暗金，相马经以枯墨与暗金描绘，面部墨色慈和中透赭褐与竹青。背景为极淡的褐黄色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以赭褐、暗金、竹青与月白为主，千里马常有而伯乐不常有，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
唐伯虎,民,3,才子：摸牌数为2+场上女性角色数量（上限4）；风流：回合结束后可摸取掉血手牌数并分配给任意角色,月白+淡粉+翠绿+赤金,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——唐伯虎位于画面中央，头戴明式幞头、帽翅平直，面容俊朗潇洒、眉目含笑如风流才子，长须飘逸，身披月白色宽袍、衣袍饰以墨竹纹，手持折扇轻摇于胸前，人物占画面约85%。设色方案以月白、淡粉、翠绿、赤金为主——宽袍以月白与淡粉交织晕染，幞头描翠绿与赤金，折扇以翠绿与赤金描绘，面部墨色潇洒中透月白与淡粉。背景为极淡的粉白色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以月白、淡粉、翠绿与赤金为主，风流才子、点秋香，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
穆桂英,民,3,英烈：每次最多受1点伤害；破阵：黑牌可当【舍我其谁】使用；挂帅：弃装备牌加血加上限转为臣阵营（详见游戏内说明）,赤红+金橙+藏蓝+翠绿,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——穆桂英位于画面中央，头戴凤翅银盔、红缨高扬，面容英姿飒爽、眉目间透巾帼之气，身披赤红色战袍、外罩金橙色铠甲，手持梨花枪斜指前方，人物占画面约85%。设色方案以赤红、金橙、藏蓝、翠绿为主——战袍以赤红与金橙交织晕染，银盔描藏蓝与翠绿，梨花枪以银白与翠绿描绘，面部墨色英武中透赤红与金橙。背景为极淡的金红色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以赤红、金橙、藏蓝与翠绿为主，巾帼英雄、穆桂英挂帅，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
狄仁杰,臣,3,断案：出牌阶段可弃一张牌令一名角色判定，若为红色则弃一张牌；举荐：回合结束时可令一名角色摸两张牌,玄青+赤金+月白+竹青,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——狄仁杰位于画面中央，头戴唐式幞头、帽翅平直，面容睿智刚正、眉目如炬，长须及胸，身披玄青色官袍、衣袍饰以獬豸纹，手持一卷案卷置于胸前，人物占画面约85%。设色方案以玄青、赤金、月白、竹青为主——官袍以玄青与月白交织晕染，幞头描赤金与竹青，獬豸纹以赤金勾勒，面部墨色刚正中透玄青与月白。背景为极淡的青灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以玄青、赤金、月白与竹青为主，神探断案、狄公明镜，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
张三丰,民,3,太极：你使用的【闪】可当【杀】使用；武当：回合结束时可令一名角色摸一张牌,灰褐+竹青+暗金+月白,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——张三丰位于画面中央，头戴道冠、白发挽髻，面容慈和清癯、眉目间透仙风道骨，白须及胸，身披灰褐色道袍、衣袍宽大如云，手持拂尘置于胸前，人物占画面约85%。设色方案以灰褐、竹青、暗金、月白为主——道袍以灰褐与竹青交织晕染，道冠描暗金与月白，拂尘以月白与竹青描绘，面部墨色清癯中透灰褐与竹青。背景为极淡的褐灰色晕染，不构成任何具体景物，大面积宣纸留白。无任何文字。整体色调以灰褐、竹青、暗金与月白为主，太极宗师、武当始祖，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
魂孙武,魂,3,诡道：受到伤害时判定（红桃回血/方块摸牌/黑桃掉血/梅花弃牌）；治军：手牌上限+1,铜绿+暗金+赭石+月白,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——孙武（魂）位于画面中央，头戴春秋武弁冠，面容沉毅睿智，长须飘逸，身披铜绿色战袍、衣袍隐约有魂纹暗影流转，手持《孙子兵法》置于胸前，人物占画面约85%。设色方案以铜绿、暗金、赭石、月白为主，衣袍边缘以暗金勾勒魂纹，面部墨色中透铜绿幽光。背景为极淡的青灰色晕染。无任何文字。整体色调以铜绿、暗金、赭石与月白为主，兵圣之魂、诡道无常，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
魂杨玉环,魂,3,羞花：弃红桃牌令男性角色跳过出牌；霓裳：【药】回复量+1,胭脂+藕荷+赤金+翠绿,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——杨玉环（魂）位于画面中央，发髻高挽、饰以金步摇与牡丹，面容丰腴娇媚，身披胭脂色锦袍、衣袍有魂纹暗影流转，手持团扇，人物占画面约85%。设色方案以胭脂、藕荷、赤金、翠绿为主，衣袍边缘以暗金勾勒魂纹，面部墨色中透胭脂幽光。背景为极淡的粉红色晕染。无任何文字。整体色调以胭脂、藕荷、赤金与翠绿为主，霓裳羽衣、贵妃之魂，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
魂小乔,魂,3,天香：弃一张牌取消任意角色判定；国色：你的红桃牌可当【无懈可击】使用,粉绿+藕荷+淡黄+朱砂,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——小乔（魂）位于画面中央，发髻双鬟如蝶，面容娇俏灵动，身披粉绿色长裙、衣袍有魂纹暗影，手持短笛，人物占画面约85%。设色方案以粉绿、藕荷、淡黄、朱砂为主，衣袍边缘以暗金勾勒魂纹。背景为极淡的绿粉色晕染。无任何文字。整体色调以粉绿、藕荷、淡黄与朱砂为主，江东二乔、天香国色，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
魂曹操,魂,4,奸雄：受到伤害后可获得造成伤害的牌；魂威：你的黑色锦囊牌不可被【无懈可击】,玄黑+暗红+暗金+赤铜,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——曹操（魂）位于画面中央，头戴王冠、冠冕垂旒，面容方正阔朗，双目如炬，身披玄黑色帝王袍、衣袍有魂纹暗影，双手按剑，人物占画面约85%。设色方案以玄黑、暗红、暗金、赤铜为主，衣袍边缘以暗金勾勒魂纹，面部墨色中透暗红幽光。背景为极淡的暗红色晕染。无任何文字。整体色调以玄黑、暗红、暗金与赤铜为主，奸雄之魂、乱世之奸雄，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
魂项羽,魂,4,霸王：你使用的【杀】造成伤害时可弃置目标一张牌；魂勇：你的【决斗】不可被【无懈可击】,乌金+赤红+暗紫+青铜,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——项羽（魂）位于画面中央，头戴紫金霸王冠，面容英武刚猛，双目怒视，身披乌金战甲、衣袍有魂纹暗影，人物占画面约85%。设色方案以乌金、赤红、暗紫、青铜为主，衣袍边缘以暗金勾勒魂纹，面部墨色中透赤红幽光。背景为极淡的紫灰色晕染。无任何文字。整体色调以乌金、赤红、暗紫与青铜为主，西楚霸王、力拔山兮气盖世，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
魂狄仁杰,魂,3,断案：弃牌令角色判定，红色则弃一张牌；举荐：回合结束令角色摸两张牌,玄青+赤金+月白+竹青,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——狄仁杰（魂）位于画面中央，头戴唐式幞头，面容睿智刚正，长须及胸，身披玄青色官袍、衣袍有魂纹暗影，手持案卷，人物占画面约85%。设色方案以玄青、赤金、月白、竹青为主，衣袍边缘以暗金勾勒魂纹。背景为极淡的青灰色晕染。无任何文字。整体色调以玄青、赤金、月白与竹青为主，狄公之魂、明镜高悬，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
魂鬼谷子,魂,3,纵横：♦牌当【合纵连横】使用；玄微：弃牌使同色牌伤害无效，延时锦囊不可无懈,玄紫+月白+暗金+竹青,"中国水墨设色国风，纵向卡牌构图，仿古铜色木质边框四角做旧有铆钉。画面主体为人物胸部以上半身肖像——鬼谷子（魂）位于画面中央，头戴道冠，面容清癯睿智，长须及胸，身披玄紫色道袍、衣袍有魂纹暗影，手持天书，人物占画面约85%。设色方案以玄紫、月白、暗金、竹青为主，衣袍边缘以暗金勾勒魂纹。背景为极淡的紫灰色晕染。无任何文字。整体色调以玄紫、月白、暗金与竹青为主，鬼谷之魂、纵横捭阖，新国风设色写意，高对比度，大师级水墨画作，无日式或欧美风格。"
